Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,India,IND,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Indonesia,IDN,20.22830593,..,15.1082541,14.45685851,15.39553988,15.46843732,15.00494556,14.61652911,12.96669934,12.46875041,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,"Iran, Islamic Rep.",IRN,17.41932689,21.62898407,25.37622816,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Iraq,IRQ,..,..,..,..,..,..,..,38.12902047,28.74721206,26.94453195,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Ireland,IRL,32.21983426,32.95156292,30.76366471,30.90443108,31.51065458,31.81042979,32.20131662,32.19161316,25.67914057,25.171793,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Israel,ISR,35.55532455,38.02748609,31.32130567,32.14854165,32.27577957,31.37527461,32.00002403,32.40638033,32.4607448,32.27169981,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Italy,ITA,..,35.85452134,37.4624661,37.17111936,36.99699089,38.52051585,38.78894111,38.48443287,38.3417312,38.58203594,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Jamaica,JAM,23.48648503,26.09765304,28.17941086,27.41556102,25.96512319,26.22866828,27.7233206,26.7044725,27.46983297,28.38634709,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Japan,JPN,13.65935603,11.50442562,9.511686391,9.86805539,10.42898118,10.75713213,11.5400866,12.51054729,12.61091931,12.23746197,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Jordan,JOR,..,..,32.67195662,30.96415091,28.49644816,29.95064922,23.77573456,..,..,..,..,..
