Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Philippines,PHL,51.30170984,60.51055294,54.77897469,52.40385945,50.99936943,51.48241826,49.23687723,45.39462718,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Portugal,PRT,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Romania,ROU,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Russian Federation,RUS,..,62.14928274,8.697866335,9.098105645,8.616922837,8.543820765,9.048882179,11.17646808,13.49208433,14.15371447,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Rwanda,RWA,49.79692027,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Samoa,WSM,..,..,..,..,49.11851284,52.05889485,55.68938505,54.30026279,57.77193963,52.56462677,49.08351273,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,San Marino,SMR,..,..,40.55200064,48.30090841,39.52143182,45.6609098,48.60148693,..,53.03347479,53.77424989,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Senegal,SEN,..,58.23488857,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Seychelles,SYC,..,..,100.4455703,75.35341586,78.84131555,78.14180561,51.55062975,68.83635988,63.34039347,..,..,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Sierra Leone,SLE,99.81877503,..,..,..,..,..,..,..,..,..,..,..
